Model,MAE,RMSE,R2
Previous Price Baseline,487.3822796666667,829.0710302372567,0.7291052947347552
Local Linear Regression,521.6097376292117,784.2678987893854,0.7575925770218341
Local + NCDEX Linear Regression,510.73942504342426,769.0171759966954,0.7669285295087527
Tuned Ridge + NCDEX,509.89508084945214,768.7766560674987,0.7670742988591662
